,product_name,product_url,product_price,product_rating,product_review_count
87,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",https://www.amazon.in/AirCase-Backpack-Lightweight-Waterproof-Spacious/dp/B0BS3QJNKT,929,2.7,4
88,Pinklips Shopping Blackpink Theme Fan Art Laptop Bag Casual School Backpack (COMBO OF 3-SIZE BAGS) - PINKBAGS_777,https://www.amazon.in/Pinklips-Shopping-Blackpink-Laptop-Backpack/dp/B0B7DL5GMY,"1,399",4.2,22
89,F Gear Colorado Navy Lmn yelw 39 Ltrs Laptop Backpack (3813),https://www.amazon.in/Gear-Colorado-Navy-Laptop-Backpack/dp/B097K6SPH7,761,4.2,89
90,"HAMMONDS FLYCATCHER Genuine Leather Laptop Bag for Men/Office Bag for Men, Brushwood | Fits Upto 14 Inch Laptop/MacBook | Leather Bag with Shoulder Straps | Laptop Messenger Bag/Leather Bag for Men",https://www.amazon.in/Hammonds-Flycatcher-Genuine-Brushwood-Messenger/dp/B0916G3WW7,"2,499",4.2,"1,243"
91,"AirCase Premium Canvas Backpack fits Upto 15.6"" Laptop, Lightweight & Easy to Clean, Spacious Bag for Office/ Travel/ College, Men & Women",https://www.amazon.in/AirCase-Backpack-Lightweight-Spacious-Warranty/dp/B0B2PCCXMN,999,4.7,4
92,"Storite PU Leather 14 inch Laptop Messenger Organizer Bag/Shoulder Sling Office Bag for Men & Women Notebook, Tablet Carrying Handbag (37x 27x7cm, Light Brown)",https://www.amazon.in/Storite-Leather-Laptop-Bag-inch/dp/B081GQJLD2,999,4.0,"1,566"
93,Aristocrat Unisex Black Premium Poleyester Fabric 26L Laptop Bags,https://www.amazon.in/Aristocrat-Unisex-Premium-Poleyester-Fabric/dp/B09ZV9MSFQ,807,3.8,44
94,"House of Quirk Clear Toiletry Bag, Wash Make Up Bag PVC Waterproof Zippered Cosmetic Bag, Portable Carry Pouch for Women Men (Set of 3 Bag Black)",https://www.amazon.in/House-Quirk-Toiletry-Waterproof-Zippered/dp/B09G364GX5,675,4.4,467
95,F Gear Millionaire Doby 36 Ltrs Black Laptop Backpack (3201),https://www.amazon.in/F-Gear-Millionaire-Doby-Black-Laptop-Backpack/dp/B07XMLCYTH,986,4.0,29
96,Tabelito® VOLT Casual waterproof Laptop Backpack/Office bag/School bag/College bag/Business bag/Unisex bag Travel bag Compatible with 15.6 inch Laptop 30L Bag for Men and Women - GREY,https://www.amazon.in/Tabelito%C2%AE-VOLT-waterproof-Backpack-Compatible/dp/B0BML7Q3J1,999,4.8,82
97,"Safari 48 Cms Black Formal/Office/Laptop Backpack With Anti-Theft, Lock, Usb And Rfid (Vault19Cbblk)",https://www.amazon.in/Safari-Formal-Backpack-Anti-Theft-VAULT19CBBLK/dp/B07XSTR69N,"1,499",4.0,819
